feature,coef_std,odds_ratio_1sd,abs_coef_std
d_viscosity,0.7831939537373894,2.188450925820069,0.7831939537373894
d_theta,-0.39566955607032533,0.6732291236626112,0.39566955607032533
d_causal_theta_so_far,0.38062782873938017,1.4632029419785186,0.38062782873938017
viscosity,0.35726851292959905,1.4294196359825715,0.35726851292959905
amp_z,-0.30657254494925734,0.7359651256900074,0.30657254494925734
causal_run_length,0.2152513386168968,1.2401735613053897,0.2152513386168968
causal_current_sign,0.19896296188688217,1.2201367734991209,0.19896296188688217
d_amp_z,0.17988102482115872,1.1970749324449466,0.17988102482115872
sigma_local,-0.15629228597923708,0.8553091589573839,0.15629228597923708
theta,0.1536476950425108,1.1660799986393755,0.1536476950425108
d_sigma_local,0.11475582627708904,1.1215995389988296,0.11475582627708904
causal_theta_so_far,0.017109658443015735,1.0172568670134043,0.017109658443015735
